,Neighbourhood,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
0,Lawrence Park,M4N,43.7280205,-79.3887901,Mastermind Toys,4adb6c97f964a5204c2721e3,43.732021,-79.404225,Toy Store
1,Lawrence Park,M4N,43.7280205,-79.3887901,401 Games,5b76f1f1a2c00b002ca82644,43.719146,-79.401279,Toy Store
2,Lawrence Park,M4N,43.7280205,-79.3887901,Toys Toys Toys,4b7eddb4f964a520590530e3,43.715945,-79.400487,Toy Store
3,Lawrence Park,M4N,43.7280205,-79.3887901,Game Trek Inc,4dfd373952b18923030f13ed,43.714587,-79.399848,Toy Store
5,Lawrence Park,M4N,43.7280205,-79.3887901,Mind Games,565b509a498ebf765261e9fd,43.708643,-79.398946,Toy Store
6,Lawrence Park,M4N,43.7280205,-79.3887901,Toytown,4bcb583d511f95218c44b1c7,43.729121,-79.418607,Toy Store
7,Lawrence Park,M4N,43.7280205,-79.3887901,Strategy Games,4ce94fa2f3bda1439928bfe4,43.706434,-79.389139,Toy Store
8,Lawrence Park,M4N,43.7280205,-79.3887901,Toy town,4c41b5b7e26920a15bd15ee7,43.729114,-79.418699,Toy Store
9,Lawrence Park,M4N,43.7280205,-79.3887901,Crazy Frog Inc,18ef4e8cca294f0a3a676f02,43.707258,-79.398678,Toy Store
10,Davisville North,M4P,43.7127511,-79.3901975,Mastermind Toys,4adb6c97f964a5204c2721e3,43.732021,-79.404225,Toy Store
11,Davisville North,M4P,43.7127511,-79.3901975,Mastermind Toys,4b800918f964a5209a4c30e3,43.704802,-79.388411,Toy Store
13,Davisville North,M4P,43.7127511,-79.3901975,Strategy Games,4ce94fa2f3bda1439928bfe4,43.706434,-79.389139,Toy Store
14,Davisville North,M4P,43.7127511,-79.3901975,Game Trek Inc,4dfd373952b18923030f13ed,43.714587,-79.399848,Toy Store
15,Davisville North,M4P,43.7127511,-79.3901975,Mind Games,565b509a498ebf765261e9fd,43.708643,-79.398946,Toy Store
16,Davisville North,M4P,43.7127511,-79.3901975,Toys Toys Toys,4b7eddb4f964a520590530e3,43.715945,-79.400487,Toy Store
17,Davisville North,M4P,43.7127511,-79.3901975,Crazy Frog Inc,18ef4e8cca294f0a3a676f02,43.707258,-79.398678,Toy Store
18,Davisville North,M4P,43.7127511,-79.3901975,Little Dollhouse Co,4db326514df05e5aaac4c04f,43.703946,-79.388602,Toy Store
19,Davisville North,M4P,43.7127511,-79.3901975,401 Games,5b76f1f1a2c00b002ca82644,43.719146,-79.401279,Toy Store
21,North Toronto West,M4R,43.7153834,-79.4056784,Mastermind Toys,4adb6c97f964a5204c2721e3,43.732021,-79.404225,Toy Store
22,North Toronto West,M4R,43.7153834,-79.4056784,Mastermind Toys,4b800918f964a5209a4c30e3,43.704802,-79.388411,Toy Store
23,North Toronto West,M4R,43.7153834,-79.4056784,Toys Toys Toys,4b7eddb4f964a520590530e3,43.715945,-79.400487,Toy Store
24,North Toronto West,M4R,43.7153834,-79.4056784,Game Trek Inc,4dfd373952b18923030f13ed,43.714587,-79.399848,Toy Store
25,North Toronto West,M4R,43.7153834,-79.4056784,401 Games,5b76f1f1a2c00b002ca82644,43.719146,-79.401279,Toy Store
26,North Toronto West,M4R,43.7153834,-79.4056784,Mind Games,565b509a498ebf765261e9fd,43.708643,-79.398946,Toy Store
27,North Toronto West,M4R,43.7153834,-79.4056784,Crazy Frog Inc,18ef4e8cca294f0a3a676f02,43.707258,-79.398678,Toy Store
